code,channel,decoder,parameter,mean_BER,std_BER,ci_low,ci_high,seeds,words,decode_time
bch_derived_16_8,rayleigh_awgn,hard_mld,1.0,0.19825000,0.00822534,0.18806290,0.20843710,5,100,0.0123
bch_derived_16_8,rayleigh_awgn,hard_mld,2.0,0.16800000,0.01297835,0.15192630,0.18407370,5,100,0.0119
bch_derived_16_8,rayleigh_awgn,hard_mld,3.0,0.14500000,0.00579601,0.13782163,0.15217837,5,100,0.0126
bch_derived_16_8,rayleigh_awgn,hard_mld,4.0,0.11175000,0.01088290,0.09827151,0.12522849,5,100,0.0128
bch_derived_16_8,rayleigh_awgn,hard_mld,5.0,0.08525000,0.00782624,0.07555719,0.09494281,5,100,0.0123
bch_derived_16_8,rayleigh_awgn,hard_mld,6.0,0.05725000,0.01594424,0.03750304,0.07699696,5,100,0.0129
bch_derived_16_8,rayleigh_awgn,soft_mld,0.0,0.16750000,0.01992172,0.14282692,0.19217308,5,100,0.0037
bch_derived_16_8,rayleigh_awgn,soft_mld,1.0,0.13250000,0.02373355,0.10310597,0.16189403,5,100,0.0043
bch_derived_16_8,rayleigh_awgn,soft_mld,2.0,0.09550000,0.01726630,0.07411567,0.11688433,5,100,0.0037
bch_derived_16_8,rayleigh_awgn,soft_mld,3.0,0.06625000,0.01389132,0.04904558,0.08345442,5,100,0.0045
bch_derived_16_8,rayleigh_awgn,soft_mld,4.0,0.04200000,0.01429598,0.02429441,0.05970559,5,100,0.0038
bch_derived_16_8,rayleigh_awgn,soft_mld,5.0,0.02425000,0.00732078,0.01518321,0.03331679,5,100,0.0037
bch_derived_16_8,rayleigh_awgn,soft_mld,6.0,0.01150000,0.00540544,0.00480536,0.01819464,5,100,0.0046
bch_derived_16_8,rayleigh,syndrome,0.0,0.41900000,0.04939794,0.35782059,0.48017941,5,100,0.0155
bch_derived_16_8,rayleigh,syndrome,1.0,0.36525000,0.06057924,0.29022254,0.44027746,5,100,0.0144
bch_derived_16_8,rayleigh,syndrome,2.0,0.31325000,0.05101777,0.25006443,0.37643557,5,100,0.0164
bch_derived_16_8,rayleigh,syndrome,3.0,0.28350000,0.02374013,0.25409782,0.31290218,5,100,0.0154
bch_derived_16_8,rayleigh,syndrome,4.0,0.24525000,0.03135482,0.20641701,0.28408299,5,100,0.0159
bch_derived_16_8,rayleigh,syndrome,5.0,0.21700000,0.03115736,0.17841157,0.25558843,5,100,0.0169
bch_derived_16_8,rayleigh,syndrome,6.0,0.17500000,0.04335536,0.12130433,0.22869567,5,100,0.0169
bch_derived_16_8,rayleigh,chase,0.0,0.19200000,0.03442156,0.14936885,0.23463115,5,100,0.1451
bch_derived_16_8,rayleigh,chase,1.0,0.17025000,0.03318273,0.12915314,0.21134686,5,100,0.1447
bch_derived_16_8,rayleigh,chase,2.0,0.14000000,0.02980405,0.10308765,0.17691235,5,100,0.1439
bch_derived_16_8,rayleigh,chase,3.0,0.12250000,0.02772634,0.08816089,0.15683911,5,100,0.1516
bch_derived_16_8,rayleigh,chase,4.0,0.09725000,0.02205108,0.06993971,0.12456029,5,100,0.1444
bch_derived_16_8,rayleigh,chase,5.0,0.07950000,0.01884559,0.05615971,0.10284029,5,100,0.1380
bch_derived_16_8,rayleigh,chase,6.0,0.06650000,0.01799305,0.04421558,0.08878442,5,100,0.1408
bch_derived_16_8,rayleigh,hard_mld,0.0,0.22850000,0.02350864,0.19938452,0.25761548,5,100,0.0116
bch_derived_16_8,rayleigh,hard_mld,1.0,0.20450000,0.02665755,0.17148459,0.23751541,5,100,0.0110
bch_derived_16_8,rayleigh,hard_mld,2.0,0.16925000,0.02300815,0.14075438,0.19774562,5,100,0.0113
bch_derived_16_8,rayleigh,hard_mld,3.0,0.15050000,0.01562750,0.13114532,0.16985468,5,100,0.0112
bch_derived_16_8,rayleigh,hard_mld,4.0,0.12925000,0.01362443,0.11237613,0.14612387,5,100,0.0108
bch_derived_16_8,rayleigh,hard_mld,5.0,0.11375000,0.02046338,0.08840607,0.13909393,5,100,0.0147
bch_derived_16_8,rayleigh,hard_mld,6.0,0.09100000,0.02238512,0.06327600,0.11872400,5,100,0.0116
bch_derived_16_8,rayleigh,soft_mld,0.0,0.19050000,0.03284195,0.14982520,0.23117480,5,100,0.0038
bch_derived_16_8,rayleigh,soft_mld,1.0,0.16575000,0.03209605,0.12599900,0.20550100,5,100,0.0036
bch_derived_16_8,rayleigh,soft_mld,2.0,0.14025000,0.03150397,0.10123229,0.17926771,5,100,0.0038
bch_derived_16_8,rayleigh,soft_mld,3.0,0.12000000,0.02996091,0.08289337,0.15710663,5,100,0.0052
bch_derived_16_8,rayleigh,soft_mld,4.0,0.09700000,0.02092770,0.07108101,0.12291899,5,100,0.0066
bch_derived_16_8,rayleigh,soft_mld,5.0,0.08050000,0.01855313,0.05752192,0.10347808,5,100,0.0038
bch_derived_16_8,rayleigh,soft_mld,6.0,0.06600000,0.01373294,0.04899173,0.08300827,5,100,0.0048
bch_derived_16_8,sinusoidal,syndrome,0.0,0.36650000,0.03231196,0.32648160,0.40651840,5,100,0.0181
bch_derived_16_8,sinusoidal,syndrome,1.0,0.30350000,0.03380089,0.26163756,0.34536244,5,100,0.0165
bch_derived_16_8,sinusoidal,syndrome,2.0,0.23650000,0.02355844,0.20732284,0.26567716,5,100,0.0180
bch_derived_16_8,sinusoidal,syndrome,3.0,0.15875000,0.02892609,0.12292500,0.19457500,5,100,0.0167
bch_derived_16_8,sinusoidal,syndrome,4.0,0.11000000,0.01377838,0.09293546,0.12706454,5,100,0.0166
bch_derived_16_8,sinusoidal,syndrome,5.0,0.06625000,0.00996086,0.05391346,0.07858654,5,100,0.0169
bch_derived_16_8,sinusoidal,syndrome,6.0,0.03475000,0.00602080,0.02729323,0.04220677,5,100,0.0159
bch_derived_16_8,sinusoidal,chase,0.0,0.11075000,0.02559602,0.07904930,0.14245070,5,100,0.1618
bch_derived_16_8,sinusoidal,chase,1.0,0.06925000,0.01432328,0.05151060,0.08698940,5,100,0.1639
bch_derived_16_8,sinusoidal,chase,2.0,0.04350000,0.00867828,0.03275194,0.05424806,5,100,0.1631
bch_derived_16_8,sinusoidal,chase,3.0,0.03000000,0.00870524,0.01921855,0.04078145,5,100,0.1661
bch_derived_16_8,sinusoidal,chase,4.0,0.01600000,0.00270994,0.01264374,0.01935626,5,100,0.1617
bch_derived_16_8,sinusoidal,chase,5.0,0.00525000,0.00540544,0.00000000,0.01194464,5,100,0.1652
bch_derived_16_8,sinusoidal,chase,6.0,0.00325000,0.00325960,0.00000000,0.00728702,5,100,0.1470
bch_derived_16_8,sinusoidal,hard_mld,0.0,0.17250000,0.01693277,0.15152874,0.19347126,5,100,0.0123
bch_derived_16_8,sinusoidal,hard_mld,1.0,0.13950000,0.02047483,0.11414189,0.16485811,5,100,0.0121
bch_derived_16_8,sinusoidal,hard_mld,2.0,0.11125000,0.01914174,0.08754293,0.13495707,5,100,0.0131
bch_derived_16_8,sinusoidal,hard_mld,3.0,0.07725000,0.01119431,0.06338584,0.09111416,5,100,0.0133
bch_derived_16_8,sinusoidal,hard_mld,4.0,0.05550000,0.01025457,0.04279970,0.06820030,5,100,0.0118
bch_derived_16_8,sinusoidal,hard_mld,5.0,0.03175000,0.00710414,0.02295152,0.04054848,5,100,0.0126
bch_derived_16_8,sinusoidal,hard_mld,6.0,0.01700000,0.00301040,0.01327162,0.02072838,5,100,0.0115
bch_derived_16_8,sinusoidal,soft_mld,0.0,0.11025000,0.02668391,0.07720194,0.14329806,5,100,0.0041
bch_derived_16_8,sinusoidal,soft_mld,1.0,0.06725000,0.01353237,0.05049014,0.08400986,5,100,0.0039
bch_derived_16_8,sinusoidal,soft_mld,2.0,0.04475000,0.01101845,0.03110363,0.05839637,5,100,0.0041
bch_derived_16_8,sinusoidal,soft_mld,3.0,0.03000000,0.00631219,0.02218234,0.03781766,5,100,0.0040
bch_derived_16_8,sinusoidal,soft_mld,4.0,0.01500000,0.00459279,0.00931182,0.02068818,5,100,0.0053
bch_derived_16_8,sinusoidal,soft_mld,5.0,0.00525000,0.00540544,0.00000000,0.01194464,5,100,0.0043
bch_derived_16_8,sinusoidal,soft_mld,6.0,0.00250000,0.00233854,0.00000000,0.00539628,5,100,0.0045
