code,channel,decoder,parameter,metric,mean,std,ci_low,ci_high,seeds,words
wavelet_16_8,rayleigh_awgn,chase,6.0,miscorrection_rate,0.02800000,0.02280351,0.00000000,0.05624218,5,100
wavelet_16_8,rayleigh_awgn,chase,6.0,conditional_miscorrection_rate,0.02800000,0.02280351,0.00000000,0.05624218,5,100
wavelet_16_8,rayleigh_awgn,chase,6.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,6.0,average_decoding_time_ms,0.16802940,0.00413336,0.16291023,0.17314857,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,ber,0.30575000,0.02196588,0.27854523,0.33295477,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,frame_error_rate,0.61400000,0.02966479,0.57726011,0.65073989,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,miscorrection_rate,0.61400000,0.02966479,0.57726011,0.65073989,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,conditional_miscorrection_rate,0.61400000,0.02966479,0.57726011,0.65073989,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,ambiguous_rate,0.34000000,0.03162278,0.30083515,0.37916485,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,average_decoding_time_ms,0.01278380,0.00314591,0.00888758,0.01668002,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,ber,0.25750000,0.02282748,0.22922814,0.28577186,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,frame_error_rate,0.52600000,0.04827007,0.46621745,0.58578255,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,miscorrection_rate,0.52600000,0.04827007,0.46621745,0.58578255,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,conditional_miscorrection_rate,0.52600000,0.04827007,0.46621745,0.58578255,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,ambiguous_rate,0.30400000,0.02966479,0.26726011,0.34073989,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,average_decoding_time_ms,0.01226300,0.00125878,0.01070400,0.01382200,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,ber,0.20400000,0.01291196,0.18800852,0.21999148,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,frame_error_rate,0.43800000,0.02683282,0.40476752,0.47123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,miscorrection_rate,0.43800000,0.02683282,0.40476752,0.47123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,conditional_miscorrection_rate,0.43800000,0.02683282,0.40476752,0.47123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,ambiguous_rate,0.26600000,0.05727128,0.19506944,0.33693056,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,average_decoding_time_ms,0.01227740,0.00112388,0.01088548,0.01366932,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,ber,0.17525000,0.01206752,0.16030436,0.19019564,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,frame_error_rate,0.37600000,0.04037326,0.32599767,0.42600233,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,miscorrection_rate,0.37600000,0.04037326,0.32599767,0.42600233,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,conditional_miscorrection_rate,0.37600000,0.04037326,0.32599767,0.42600233,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,ambiguous_rate,0.22400000,0.04827007,0.16421745,0.28378255,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,average_decoding_time_ms,0.01401020,0.00235157,0.01109778,0.01692262,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,ber,0.13050000,0.01488498,0.11206494,0.14893506,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,frame_error_rate,0.28800000,0.02683282,0.25476752,0.32123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,miscorrection_rate,0.28800000,0.02683282,0.25476752,0.32123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,conditional_miscorrection_rate,0.28800000,0.02683282,0.25476752,0.32123248,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,ambiguous_rate,0.19200000,0.03346640,0.15055182,0.23344818,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,average_decoding_time_ms,0.01265860,0.00148732,0.01081655,0.01450065,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,ber,0.09800000,0.01376703,0.08094951,0.11505049,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,frame_error_rate,0.22000000,0.02738613,0.18608224,0.25391776,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,miscorrection_rate,0.22000000,0.02738613,0.18608224,0.25391776,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,conditional_miscorrection_rate,0.22000000,0.02738613,0.18608224,0.25391776,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,ambiguous_rate,0.15200000,0.02167948,0.12514993,0.17885007,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,average_decoding_time_ms,0.01195420,0.00112645,0.01055909,0.01334931,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,ber,0.05925000,0.01010105,0.04673983,0.07176017,5,100
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,frame_error_rate,0.13400000,0.04277850,0.08101877,0.18698123,5,100
